source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation
national,文化庁,文化遺産オンライン／国指定文化財等データベース,188742,https://online.bunka.go.jp/heritages/detail/188742,13Tokyo/raw/national/records.jsonl,渡辺学園裁縫雛形コレクション 附 教具類他 文化遺産オンライン,,,,,,,,,,national,,35.75516864,139.72131943,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199506,https://online.bunka.go.jp/heritages/detail/199506,13Tokyo/raw/national/records.jsonl,大森及び周辺地域の海苔生産用具 文化遺産オンライン,,,,,,,,,,national,,35.57707086,139.74257582,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,169895,https://online.bunka.go.jp/heritages/detail/169895,13Tokyo/raw/national/records.jsonl,羽村の民家(旧下田家)とその生活用具 文化遺産オンライン,,,,,,,,,,national,,35.75542485,139.30288103,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,136164,https://online.bunka.go.jp/heritages/detail/136164,13Tokyo/raw/national/records.jsonl,江古田の富士塚 文化遺産オンライン,,,,,,,,,,national,,35.73860646,139.67240921,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,203193,https://online.bunka.go.jp/heritages/detail/203193,13Tokyo/raw/national/records.jsonl,豊島長崎の富士塚 文化遺産オンライン,,,,,,,,,,national,,35.73782324,139.69528822,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,188592,https://online.bunka.go.jp/heritages/detail/188592,13Tokyo/raw/national/records.jsonl,下谷坂本の富士塚 文化遺産オンライン,,,,,,,,,,national,,35.72204902,139.78364505,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,160551,https://online.bunka.go.jp/heritages/detail/160551,13Tokyo/raw/national/records.jsonl,小河内の山村生活用具 文化遺産オンライン,,,,,,,,,,national,,35.79283061,139.04825946,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,208010,https://online.bunka.go.jp/heritages/detail/208010,13Tokyo/raw/national/records.jsonl,山袴コレクション 附 引解 雛形 モモヒキ 下穿 上衣 改良仕事服 文化遺産オンライン,,,,,,,,,,national,,35.71657878,139.76564138,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199446,https://online.bunka.go.jp/heritages/detail/199446,13Tokyo/raw/national/records.jsonl,近代教科書関係資料 文化遺産オンライン,,,,,,,,,,national,東京書籍株式会社,35.75128914,139.74342276,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,136104,https://online.bunka.go.jp/heritages/detail/136104,13Tokyo/raw/national/records.jsonl,映画フィルム「紅葉狩」 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立美術館,35.6755074,139.77060499,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,207950,https://online.bunka.go.jp/heritages/detail/207950,13Tokyo/raw/national/records.jsonl,奉写一切経所紙納帳 文化遺産オンライン,,,,,,,,,,national,国宝・重要文化財(美術品),35.71896468,139.77653505,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199436,https://online.bunka.go.jp/heritages/detail/199436,13Tokyo/raw/national/records.jsonl,智証大師伝 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,158978,https://online.bunka.go.jp/heritages/detail/158978,13Tokyo/raw/national/records.jsonl,二階堂家文書(四百七十六通) 文化遺産オンライン,,,,,,,,,,national,国立大学法人東京大学,35.71104505,139.76066169,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,160471,https://online.bunka.go.jp/heritages/detail/160471,13Tokyo/raw/national/records.jsonl,比志島家文書(二百十六通) 文化遺産オンライン,,,,,,,,,,national,国立大学法人東京大学,35.71104505,139.76066169,point,representative_point,national,,,
