museum_id,facility_name,municipality_code,municipality_name,address_raw,address_normalized,postal_code,latitude,longitude,location_type,address_source_url,source_authority,extraction_method,geocoder,geocode_score,match_level,coordinate_level,coordinate_use,review_status,review_reason,retrieved_at,content_sha256,notes
MUS-b3c22e2a74a0,福澤諭吉記念 慶應義塾史展示館,13103,港区,東京都港区三田2-15-45,東京都港区三田2-15-45,,35.648708,139.74234,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b4756a69b0d4,千代田区立千代田図書館,13101,千代田区,東京都千代田区九段南1-2-1 千代田区役所9・10F,東京都千代田区九段南1-2-1千代田区役所9・10F,102-8688,35.693947,139.75354,facility_location,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/17.php,facility_or_public_official,html_text,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,40b1405be36eec2685a5bd41d80bb7fa2a817c1d9d8278c20b111ac2dc6f7f57,address_score=90
MUS-b6703bad8a66,文京アカデミー,13105,文京区,東京都文京区春日1丁目16番21号,東京都文京区春日1丁目16番21号,,35.708336,139.752411,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b699150007fe,東京都庭園美術館,13103,港区,東京都港区白金台5-21-9,東京都港区白金台5-21-9,,35.636604,139.719666,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b838f8bc471d,東洋学園大学 東洋学園史料室,13105,文京区,東京都文京区本郷1丁目26番3号,東京都文京区本郷1丁目26番3号,,35.704567,139.757568,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-baccde587599,東京都立中央図書館,13103,港区,東京都港区南麻布5-7-13,東京都港区南麻布5-7-13,,35.652203,139.725845,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-badcfdf9f3ff,六義園,13105,文京区,東京都文京区本駒込6丁目16番3号,東京都文京区本駒込6丁目16番3号,,35.732399,139.748367,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-bb9a2e40fe65,東京都写真美術館,13110,目黒区,東京都目黒区三田1-13-3 恵比寿ガーデンプレイス内,東京都目黒区三田1-13-3恵比寿ガーデンプレイス内,153-0062,35.642181,139.715027,facility_location,https://topmuseum.jp/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,2459e23124c42c98da75e0c725440687fc8fac6f18600b7b45552b5da6bcbbc7,address_score=115
MUS-bbad9241562a,戸栗美術館,13113,渋谷区,東京都渋谷区松濤1-11-3,東京都渋谷区松濤1-11-3,150-0046,35.661343,139.692902,facility_location,https://www.toguri-museum.or.jp/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,49eef966ea353973924e74d3a42bf27bab1e921a05011b865ab25540fcd71232,address_score=115
MUS-bc6384c2484f,井の頭自然文化園,13203,武蔵野市,東京都武蔵野市御殿山1-17-6,東京都武蔵野市御殿山1-17-6,,35.700573,139.573074,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
