record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
official_export_002:42,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半別館南棟,5.95,都心西部直下地震,6弱
official_export_002:43,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半本店北奥座敷,6.074,都心西部直下地震,6強以上
official_export_002:44,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半本店西奥座敷,6.074,都心西部直下地震,6強以上
official_export_002:45,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半本店東奥座敷,6.074,都心西部直下地震,6強以上
official_export_002:46,13106,台東区,National,Registered,有形文化財,建造物,building_direct,岩田家住宅和館,6.108,都心西部直下地震,6強以上
official_export_002:107,13106,台東区,National,Registered,有形文化財,建造物,building_direct,神谷バー本館,6.059,都心西部直下地震,6強以上
official_export_002:112,13106,台東区,National,Registered,有形文化財,建造物,building_direct,寛永寺葵の間,5.881,都心西部直下地震,6弱
official_export_002:113,13106,台東区,National,Registered,有形文化財,建造物,building_direct,寛永寺護国院庫裏,5.807,都心西部直下地震,6弱
official_export_002:114,13106,台東区,National,Registered,有形文化財,建造物,building_direct,寛永寺根本中堂,5.881,都心西部直下地震,6弱
official_export_002:115,13106,台東区,National,Registered,有形文化財,建造物,building_direct,寛永寺渋沢家霊堂,5.888,都心西部直下地震,6弱
official_export_002:124,13106,台東区,National,Registered,有形文化財,建造物,building_direct,観音寺客殿,5.839,都心西部直下地震,6弱
official_export_002:125,13106,台東区,National,Registered,有形文化財,建造物,building_direct,観音寺築地塀,5.84,都心西部直下地震,6弱
official_export_002:132,13106,台東区,National,Registered,有形文化財,建造物,building_direct,ギャラリー・エフ蔵(株式会社淵川金属事務所),6.145,都心西部直下地震,6強以上
official_export_002:139,13106,台東区,National,Registered,有形文化財,建造物,building_direct,旧井阪屋本店河合ビル,6.077,都心西部直下地震,6強以上
official_export_002:140,13106,台東区,National,Registered,有形文化財,建造物,building_direct,旧井阪屋本店河合ビル稲荷社,6.055,都心西部直下地震,6強以上
official_export_002:144,13106,台東区,National,Registered,有形文化財,建造物,building_direct,旧柏湯,6.148,都心西部直下地震,6強以上
official_export_002:145,13106,台東区,National,Registered,有形文化財,建造物,building_direct,旧唐木田家住宅主屋,5.895,都心西部直下地震,6弱
official_export_002:147,13106,台東区,National,Registered,有形文化財,建造物,building_direct,旧川嶋屋米倉庫,5.891,都心西部直下地震,6弱
official_export_002:148,13106,台東区,National,Registered,有形文化財,建造物,building_direct,旧川嶋屋店舗兼住居,5.896,都心西部直下地震,6弱
official_export_002:195,13106,台東区,National,Registered,有形文化財,建造物,building_direct,教證寺客殿,6.131,都心西部直下地震,6強以上
official_export_002:196,13106,台東区,National,Registered,有形文化財,建造物,building_direct,教證寺本堂,6.131,都心西部直下地震,6強以上
official_export_002:205,13106,台東区,National,Registered,有形文化財,建造物,building_direct,黒沢ビル,5.858,都心西部直下地震,6弱
official_export_002:243,13106,台東区,National,Registered,有形文化財,建造物,building_direct,西徳寺本堂,6.34,都心西部直下地震,6強以上
official_export_002:274,13106,台東区,National,Registered,有形文化財,建造物,building_direct,すぺーす小倉屋蔵,5.858,都心西部直下地震,6弱
official_export_002:275,13106,台東区,National,Registered,有形文化財,建造物,building_direct,すぺーす小倉屋店舗,5.858,都心西部直下地震,6弱
official_export_002:282,13106,台東区,National,Registered,有形文化財,建造物,building_direct,タイガービルヂング,6.313,都心西部直下地震,6強以上
official_export_002:283,13106,台東区,National,Registered,有形文化財,建造物,building_direct,台東区立朝倉彫塑館東屋,5.848,都心西部直下地震,6弱
official_export_002:284,13106,台東区,National,Registered,有形文化財,建造物,building_direct,台東区立朝倉彫塑館アトリエ棟,5.848,都心西部直下地震,6弱
official_export_002:285,13106,台東区,National,Registered,有形文化財,建造物,building_direct,台東区立朝倉彫塑館旧アトリエ,5.859,都心西部直下地震,6弱
official_export_002:286,13106,台東区,National,Registered,有形文化財,建造物,building_direct,台東区立朝倉彫塑館住居,5.859,都心西部直下地震,6弱
official_export_002:311,13106,台東区,National,Registered,有形文化財,建造物,building_direct,茶寮一松表門及び塀,5.976,都心西部直下地震,6弱
official_export_002:312,13106,台東区,National,Registered,有形文化財,建造物,building_direct,茶寮一松店舗及び住居,6.053,都心西部直下地震,6強以上
official_export_002:325,13106,台東区,National,Registered,有形文化財,建造物,building_direct,燕湯,5.805,都心西部直下地震,6弱
official_export_002:326,13106,台東区,National,Registered,有形文化財,建造物,building_direct,手焼せんべい嵯峨の家店舗,5.891,都心西部直下地震,6弱
official_export_002:357,13106,台東区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄銀座線浅草駅四番出入口上家,6.089,都心西部直下地震,6強以上
official_export_002:362,13106,台東区,National,Registered,有形文化財,建造物,building_direct,東京文化財研究所黒田記念館書庫,5.814,都心西部直下地震,6弱
official_export_002:363,13106,台東区,National,Registered,有形文化財,建造物,building_direct,東京文化財研究所黒田記念館本館,5.814,都心西部直下地震,6弱
official_export_002:367,13106,台東区,National,Registered,有形文化財,建造物,building_direct,中江店舗,6.397,都心西部直下地震,6強以上
official_export_002:376,13106,台東区,National,Registered,有形文化財,建造物,building_direct,難波商店店舗兼主屋,6.055,都心西部直下地震,6強以上
official_export_002:385,13106,台東区,National,Registered,有形文化財,建造物,building_direct,日本聖公会浅草聖ヨハネ教会,5.9,都心西部直下地震,6弱
official_export_002:394,13106,台東区,National,Registered,有形文化財,建造物,building_direct,花重店舗,5.868,都心西部直下地震,6弱
official_export_003:2,13106,台東区,National,Designated,記念物,天然記念物,point,伊能忠敬墓,6.042,都心西部直下地震,6強以上
official_export_003:14,13106,台東区,National,Designated,記念物,天然記念物,point,蒲生君平墓,5.935,都心西部直下地震,6弱
official_export_003:16,13106,台東区,National,Designated,記念物,天然記念物,point,旧朝倉文夫氏庭園,5.848,都心西部直下地震,6弱
official_export_003:42,13106,台東区,National,Designated,記念物,天然記念物,point,高橋至時墓,6.042,都心西部直下地震,6強以上
official_export_003:48,13106,台東区,National,Designated,記念物,天然記念物,point,伝法院庭園,,都心西部直下地震,No data
official_export_003:59,13106,台東区,National,Designated,記念物,天然記念物,point,平賀源内墓,6.279,都心西部直下地震,6強以上
official_export_003:72,13106,台東区,National,Designated,記念物,天然記念物,point,横山大観旧宅及び庭園,6.118,都心西部直下地震,6強以上
95,13107,墨田区,Tokyo Metropolitan,Designated,有形文化財,歴史資料,point,石造明暦大火横死者等供養塔,5.757,都心西部直下地震,6弱
171,13107,墨田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,赤穂浪士元禄義挙の跡,6.272,都心西部直下地震,6強以上
172,13107,墨田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,加藤千蔭墓,6.18,都心西部直下地震,6強以上
173,13107,墨田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,磐瀬京伝墓,6.18,都心西部直下地震,6強以上
174,13107,墨田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,磐瀬京山墓,6.18,都心西部直下地震,6強以上
197,13107,墨田区,Tokyo Metropolitan,Designated,記念物,名勝,point,旧安田庭園,6.005,都心西部直下地震,6強以上
131075100001,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,牛嶋神社石造鳥居,6.084,都心西部直下地震,6強以上
131075100002,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,白髭神社石造鳥居,6.19,都心西部直下地震,6強以上
131075100003,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,多聞寺山門,6.294,都心西部直下地震,6強以上
131075100004,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,旧小山家住宅,6.191,都心西部直下地震,6強以上
131075100005,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,小林家住宅 ※非公開,,都心西部直下地震,No data
131075100006,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,三囲神社石造鳥居(堤下の大鳥居),6.163,都心西部直下地震,6強以上
131075100007,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,弘福寺本堂(大雄寳殿),6.164,都心西部直下地震,6強以上
131075100008,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,三囲神社本社,6.163,都心西部直下地震,6強以上
131075100009,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,旧鈴木八太郎家住宅 ※非公開,,都心西部直下地震,No data
131075100010,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,牛嶋神社社殿,6.084,都心西部直下地震,6強以上
