record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,scenario,risk_value,risk_type,risk_type_ja,risk_class,hazard_source,risk_basis
official_export_002:153,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,多摩東部直下地震,7.0145,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:153,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,大正関東地震,5.8,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:153,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,都心南部直下地震,6.9565,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:181,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,南海トラフ巨大地震,0.98,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:181,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,多摩東部直下地震,17.0025,liquefaction,液状化,PL>15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:181,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,大正関東地震,15.145,liquefaction,液状化,PL>15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:181,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,都心南部直下地震,19.515,liquefaction,液状化,PL>15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),南海トラフ巨大地震,0.342,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),多摩東部直下地震,7.2544,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),大正関東地震,6.0844,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),都心南部直下地震,8.1912,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:297,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋,南海トラフ巨大地震,0.237368421,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:297,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋,多摩東部直下地震,6.426315789,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:297,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋,大正関東地震,4.946842105,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:297,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋,都心南部直下地震,6.322105263,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:298,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門,南海トラフ巨大地震,0.237368421,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:298,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門,多摩東部直下地震,6.426315789,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:298,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門,大正関東地震,4.946842105,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:298,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門,都心南部直下地震,6.322105263,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:299,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣,南海トラフ巨大地震,0.237368421,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:299,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣,多摩東部直下地震,6.426315789,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:299,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣,大正関東地震,4.946842105,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:299,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣,都心南部直下地震,6.322105263,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:359,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁,南海トラフ巨大地震,0.836666667,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:359,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁,多摩東部直下地震,5.303333333,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:359,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁,大正関東地震,4.276666667,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:359,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁,都心南部直下地震,5.36,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,南海トラフ巨大地震,2.3404,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,多摩東部直下地震,16.802,liquefaction,液状化,PL>15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,大正関東地震,14.922,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,都心南部直下地震,18.6504,liquefaction,液状化,PL>15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
