municipality_code,municipality_name,その他,文化的景観,文化財保存技術,有形文化財,未判定,民俗文化財,無形文化財,記念物,Total
13109,東村山市,0,0,0,0,0,0,0,0,0
13109,板橋区,0,0,0,0,0,0,0,0,0
13109,檜原村,0,0,0,0,0,0,0,0,0
13109,武蔵村山市,0,0,0,0,0,0,0,0,0
13109,武蔵野市,0,0,0,0,0,0,0,0,0
13109,江戸川区,0,0,0,0,0,0,0,0,0
13109,江東区,0,0,0,0,0,0,0,0,0
13109,清瀬市,0,0,0,0,0,0,0,0,0
13109,渋谷区,0,0,0,0,0,0,0,0,0
13109,港区,0,0,0,0,0,0,0,0,0
13109,狛江市,0,0,0,0,0,0,0,0,0
13109,町田市,0,0,0,0,0,0,0,0,0
13109,目黒区,0,0,0,0,0,0,0,0,0
13109,福生市,0,0,0,0,0,0,0,0,0
13109,稲城市,0,0,0,0,0,0,0,0,0
13109,立川市,0,0,0,0,0,0,0,0,0
13109,練馬区,0,0,0,0,0,0,0,0,0
13109,羽村市,0,0,0,0,0,0,0,0,0
13109,荒川区,0,0,0,0,0,0,0,0,0
13109,葛飾区,0,0,0,0,0,0,0,0,0
13109,西東京市,0,0,0,0,0,0,0,0,0
13109,調布市,0,0,0,0,0,0,0,0,0
13109,豊島区,0,0,0,0,0,0,0,0,0
13109,足立区,0,0,0,0,0,0,0,0,0
13109,青ケ島村,0,0,0,0,0,0,0,0,0
13109,青梅市,0,0,0,0,0,0,0,0,0
13110,あきる野市,0,0,0,0,0,0,0,0,0
13110,三宅村,0,0,0,0,0,0,0,0,0
13110,三鷹市,0,0,0,0,0,0,0,0,0
13110,世田谷区,0,0,0,0,0,0,0,0,0
13110,中央区,0,0,0,0,0,0,0,0,0
13110,中野区,0,0,0,0,0,0,0,0,0
13110,八丈町,0,0,0,0,0,0,0,0,0
13110,八王子市,0,0,0,0,0,0,0,0,0
13110,利島村,0,0,0,0,0,0,0,0,0
13110,千代田区,0,0,0,0,0,0,0,0,0
13110,台東区,0,0,0,0,0,0,0,0,0
13110,品川区,0,0,0,0,0,0,0,0,0
13110,国分寺市,0,0,0,0,0,0,0,0,0
13110,国立市,0,0,0,0,0,0,0,0,0
13110,墨田区,0,0,0,0,0,0,0,0,0
13110,多摩市,0,0,0,0,0,0,0,0,0
13110,大島町,0,0,0,0,0,0,0,0,0
13110,大田区,0,0,0,0,0,0,0,0,0
13110,小平市,0,0,0,0,0,0,0,0,0
13110,小金井市,0,0,0,0,0,0,0,0,0
13110,府中市,0,0,0,0,0,0,0,0,0
