record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
13104:2,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄栄寺の山門「甘露門」,5.825,都心南部直下地震,6弱
13104:3,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の山門,5.845,都心南部直下地震,6弱
13104:4,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の本殿・幣殿・拝殿,5.628,都心南部直下地震,6弱
13104:5,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院本堂,5.731,都心南部直下地震,6弱
13104:6,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院七面堂,5.731,都心南部直下地震,6弱
13104:7,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永心寺本堂,6.068,都心南部直下地震,6強以上
13104:8,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永心寺山門,5.881,都心南部直下地震,6弱
13104:9,13104,新宿区,Unknown,Unknown,未判定,未細分,point,筑土八幡神社の石造鳥居,5.804,都心南部直下地震,6弱
13104:10,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西迎寺の阿弥陀如来座像,5.854,都心南部直下地震,6弱
13104:11,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井出世不動尊像,5.81,都心南部直下地震,6弱
13104:12,13104,新宿区,Unknown,Unknown,未判定,未細分,point,花園神社の唐獅子像,5.891,都心南部直下地震,6弱
13104:13,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の三日月不動像,5.9,都心南部直下地震,6弱
13104:14,13104,新宿区,Unknown,Unknown,未判定,未細分,point,熊野神社の水鉢,5.834,都心南部直下地震,6弱
13104:15,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院の金剛力士石像,5.731,都心南部直下地震,6弱
13104:16,13104,新宿区,Unknown,Unknown,未判定,未細分,point,誓閑寺の梵鐘,5.739,都心南部直下地震,6弱
